DATE,AIR_TEMP(°C),ATMO_PRESSURE(hpa),HUMIDITY(%),RAIN_FALL(mm)
2015-11-01,25.34545808966861,1012.2864912280702,82.18368421052632,304.3333333333333
2015-11-02,25.54796296296296,1012.3160185185185,81.13675925925925,304.3333333333333
2015-11-03,26.68185185185185,1012.1814814814816,78.79185185185185,304.3333333333333
2015-11-04,27.153395493395493,1010.874522144522,76.82379953379954,304.3333333333333
2015-11-05,27.236388888888886,1010.5219444444443,76.97416666666668,304.3333333333333
2015-11-06,27.453022875816995,1010.1461192810457,71.43075980392156,304.3333333333333
2015-11-07,26.908741830065356,1011.818954248366,70.21133286647994,304.3333333333333
2015-11-08,26.67379785247432,1012.7641456582633,69.1857142857143,304.3333333333333
2015-11-09,25.048611111111114,1011.6415032679739,67.48415032679739,304.3333333333333
2015-11-10,25.498709860755895,1010.0302244955955,67.69368570616653,304.3333333333333
2015-11-11,25.356235537693337,1010.447399829497,69.19968335160151,304.3333333333333
2015-11-12,25.469596171802056,1012.0000583566762,69.98215452847806,304.3333333333333
2015-11-13,25.731535947712416,1011.4992483660131,70.28601307189543,304.3333333333333
2015-11-14,25.758928571428573,1009.6246031746033,67.90664682539682,304.3333333333333
2015-11-15,26.175555555555558,1009.5201388888889,74.32916666666667,304.3333333333333
2015-11-16,26.038194444444443,1009.7041666666665,76.42847222222223,304.3333333333333
2015-11-17,25.483657694962044,1010.0297860593513,83.67596963423051,304.3333333333333
2015-11-18,24.809128787878787,1013.1057575757577,72.7967803030303,304.3333333333333
2015-11-19,24.65194444444444,1013.2802777777778,77.19375,304.3333333333333
2015-11-20,24.86388888888889,1012.1311111111112,74.68898148148149,304.3333333333333
2015-11-21,24.836111111111112,1011.6902777777777,68.07833333333333,304.3333333333333
2015-11-22,24.66362745098039,1011.7970098039215,64.26614379084968,304.3333333333333
2015-11-23,24.399305555555557,1012.2961111111111,62.75194444444444,304.3333333333333
2015-11-24,24.043333333333333,1011.9094444444445,70.47611111111111,304.3333333333333
2015-11-25,24.368055555555554,1011.4130555555556,70.56027777777778,304.3333333333333
2015-11-26,24.14305555555556,1010.8377777777778,65.78763888888889,304.3333333333333
2015-11-27,24.347630718954246,1010.2789404223228,71.10402212166917,304.3333333333333
2015-11-28,24.82166666666667,1013.9258333333333,76.60625,304.3333333333333
2015-11-29,24.242499999999996,1015.308611111111,75.24305555555556,304.3333333333333
2015-11-30,24.858928571428567,1013.3545634920637,76.15218253968254,304.3333333333333
2015-12-01,26.274927849927845,1011.7181457431457,78.84195526695527,304.3333333333333
2015-12-02,25.945245808468314,1012.060136402387,80.0811139528275,304.3333333333333
2015-12-03,24.548809523809524,1012.2387896825395,75.6373015873016,304.6666666666667
2015-12-04,23.94880952380952,1012.7003968253968,76.88075396825396,305.6666666666667
2015-12-05,23.93948412698413,1013.0833333333334,81.05634920634921,305.6666666666667
2015-12-06,24.536944444444444,1012.7766269841271,74.63511904761904,305.6666666666667
2015-12-07,24.410119047619048,1012.9998015873016,76.5704365079365,305.6666666666667
2015-12-08,23.01686507936508,1013.2275793650794,73.43095238095238,305.6666666666667
2015-12-09,23.283928571428575,1013.9874999999998,70.62757936507936,305.6666666666667
2015-12-10,23.35436507936508,1012.0527777777778,75.4954365079365,305.6666666666667
2015-12-11,24.349145299145302,1010.2157051282052,78.7806623931624,305.6666666666667
2015-12-12,24.73008547008547,1009.103888888889,82.61320512820514,305.6666666666667
2015-12-13,25.11997863247863,1011.6579059829058,81.01570512820513,305.6666666666667
2015-12-14,22.73124303232999,1012.0707915273133,69.6830685618729,305.8333333333333
2015-12-15,21.24018332713985,1012.6234918865352,65.90022296544035,306.0
2015-12-16,19.940409207161128,1014.1333202177193,62.50693160207228,306.0
2015-12-17,20.056965583436178,1013.5916906622791,61.648128342246,306.0
2015-12-18,18.15150501672241,1013.5233879011912,86.67312092941383,309.9359267734554
2015-12-19,19.21240079365079,1017.0505952380954,67.41498015873016,310.06349206349205
2015-12-20,18.549597953216374,1016.1431286549706,67.63355263157895,310.0
2015-12-21,19.832675438596496,1015.4608187134503,61.9000365497076,310.0
2015-12-22,19.92853260869565,1016.9592391304349,68.04547101449276,310.0
2015-12-23,20.941400966183576,1015.7684299516908,67.24072463768115,310.0
2015-12-24,20.908513071895424,1014.994526143791,65.89710784313726,310.0
2015-12-25,19.627001633986925,1016.2515114379084,62.734640522875814,310.0
2015-12-26,18.86611111111111,1016.3897222222223,55.9461111111111,310.0
2015-12-27,18.60609161793372,1016.2837719298244,53.679922027290445,310.0
2015-12-28,18.796282679738564,1017.1079248366013,60.362500000000004,310.0
2015-12-29,19.566567460317458,1015.2936507936507,66.58809523809524,310.0
2015-12-30,19.556521739130435,1014.8309782608695,74.50960144927535,309.82608695652175
2015-12-31,20.37777777777778,1016.3401388888888,74.19486111111111,309.6666666666667
2016-01-01,20.48611111111111,1017.6352777777779,74.01527777777777,309.6666666666667
2016-01-02,216.47275910364147,1016.466339869281,75.321802054155,309.6666666666667
2016-01-03,20.62254273504273,1015.375,79.9519764957265,309.6666666666667
